ID,Cohort,ReferenceCoded,Reference,YearPublished,YearDataCollection,StudyType,Country,AgeMean,AgeRangeLower,AgeRangeUpper,OutcomeDefinitionLabel,Severity,Predictor,Predictor_clean,ReverseD,PredictorCoded,PredictorBroad,Test_dependency,Rcode,metaP_code,effectType,ratesControl,IncludeStudy,IncludeD,
202,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Money spent on cannabis,Cannabis amount (high),no,CannabisSeverity,CannabisHistory,independent,eugei_sami_PLEs_moneyExtracted,pEstimate_eugei_sami_PLEs_money,cohen,,Yes,Yes,
203,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Frequency of cannabis use x caseness interaction,Frequency (heavy),no,Other,Other,independent,eugei_sami_PLEs_frequencyxcasenessExtracted,pEstimate_eugei_sami_PLEs_frequencyxcaseness,cohen,,Yes,Yes,
204,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Potency (high vs. low potency)  x caseness interaction,Potency (high)  x caseness interaction,no,Other,Other,independent,eugei_sami_PLEs_potencyxcasenessExtracted,pEstimate_eugei_sami_PLEs_potencyxcaseness,cohen,,Yes,Yes,
205,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Money spent on cannabis  x caseness interaction,Cannabis amount  x caseness interaction,no,Other,Other,independent,eugei_sami_PLEs_moneyxcasenessExtracted,pEstimate_eugei_sami_PLEs_moneyxcaseness,cohen,,Yes,Yes,
206,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Inhalant use (lifetime),Inhalant use (lifetime),no,Inhalants,OtherDrugs,independent,eugei_sami_PLEs_inhalantsLifetimeExtracted,pEstimate_eugei_sami_PLEs_inhalantsLifetime,cohen,,Yes,Yes,
207,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Inhalant misuse (lifetime),Inhalant misuse (lifetime),no,Inhalants,OtherDrugs,independent,eugei_sami_PLEs_inhalantsmisuseExtracted,pEstimate_eugei_sami_PLEs_inhalantsmisuse,cohen,,Yes,Yes,
208,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Crack use (lifetime),Crack use (lifetime),no,Crack,OtherDrugs,independent,eugei_sami_PLEs_crackLifetimeExtracted,pEstimate_eugei_sami_PLEs_crackLifetime,cohen,,Yes,Yes,
209,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Crack misuse (lifetime),Crack misuse (lifetime),no,Crack,OtherDrugs,independent,eugei_sami_PLEs_crackmisuseExtracted,pEstimate_eugei_sami_PLEs_crackmisuse,cohen,,Yes,Yes,
210,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Cocaine use (lifetime),Cocaine use (lifetime),no,Cocaine,OtherDrugs,independent,eugei_sami_PLEs_cocaineLifetimeExtracted,pEstimate_eugei_sami_PLEs_cocaineLifetime,cohen,,Yes,Yes,
211,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Cocaine misuse (lifetime),Cocaine misuse (lifetime),no,Cocaine,OtherDrugs,independent,eugei_sami_PLEs_cocainemisuseExtracted,pEstimate_eugei_sami_PLEs_cocainemisuse,cohen,,Yes,Yes,
212,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Stimulant use (lifetime),Stimulant use (lifetime),no,Stimulants,OtherDrugs,independent,eugei_sami_PLEs_stimulantsLifetimeExtracted,pEstimate_eugei_sami_PLEs_stimulantsLifetime,cohen,,Yes,Yes,
213,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Stimulant misuse (lifetime),Stimulant misuse (lifetime),no,Stimulants,OtherDrugs,independent,eugei_sami_PLEs_stimulantsmisuseExtracted,pEstimate_eugei_sami_PLEs_stimulantsmisuse,cohen,,Yes,Yes,
214,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Sedative use (lifetime),Sedative use (lifetime),no,Sedatives,OtherDrugs,independent,eugei_sami_PLEs_sedativesLifetimextracted,pEstimate_eugei_sami_PLEs_sedativesLifetime,cohen,,Yes,Yes,
215,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Sedative misuse (lifetime),Sedative misuse (lifetime),no,Sedatives,OtherDrugs,independent,eugei_sami_PLEs_sedativesmisuseExtracted,pEstimate_eugei_sami_PLEs_sedativesmisuse,cohen,,Yes,Yes,
216,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Opioid use (lifetime),Opioid use (lifetime),no,Opioids,OtherDrugs,independent,eugei_sami_PLEs_opioidsLifetimeExtracted,pEstimate_eugei_sami_PLEs_opioidsLifetime,cohen,,Yes,Yes,
217,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Opioid misuse (lifetime),Opioid misuse (lifetime),no,Opioids,OtherDrugs,independent,eugei_sami_PLEs_opioidsmisuseExtracted,pEstimate_eugei_sami_PLEs_opioidsmisuse,cohen,,Yes,Yes,
218,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Hallucinogen use (lifetime),Hallucinogen use (lifetime),no,Hallucinogens,OtherDrugs,independent,eugei_sami_PLEs_hallucinogensLifetimeExtracted,pEstimate_eugei_sami_PLEs_hallucinogensLifetime,cohen,,Yes,Yes,
219,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Hallucinogen misuse (lifetime),Hallucinogen misuse (lifetime),no,Hallucinogens,OtherDrugs,independent,eugei_sami_PLEs_hallucinogensmisuseExtracted,pEstimate_eugei_sami_PLEs_hallucinogensmisuse,cohen,,Yes,Yes,
220,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Ketamine use (lifetime),Ketamine use (lifetime),no,Ketamine,OtherDrugs,independent,eugei_sami_PLEs_ketamineLifetimeExtracted,pEstimate_eugei_sami_PLEs_ketamineLifetime,cohen,,Yes,Yes,
221,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Ketamine misuse (lifetime),Ketamine misuse (lifetime),no,Ketamine,OtherDrugs,independent,eugei_sami_PLEs_ketaminemisuseExtracted,pEstimate_eugei_sami_PLEs_ketaminemisuse,cohen,,Yes,Yes,
222,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Novel psychoactive substance use (lifetime),Novel psychoactive substance use (lifetime),no,NPC,OtherDrugs,independent,eugei_sami_PLEs_novelPsychoactLifetimeExtracted,pEstimate_eugei_sami_PLEs_novelPsychoactLifetime,cohen,,Yes,Yes,
223,Sami,GAP_EUGEI,"Sami, M., Quattrone, D., Ferraro, L., Tripoli, G., Cascia, E., Gayer-Anderson, C., . . . Forti, M. (2020). Association of extent of cannabis use and psychotic like intoxication experiences in a multi-national sample of first episode psychosis patients and controls. Psychological Medicine, 1-9. doi:10.1017/S0033291720000847",2020,2010-2015,Observational,"UK, Holland, Spain, France, Italy, Brazil",31.4,NA,NA,Can.PLE,psych_like,Novel psychoactive substance misuse (lifetime),Novel psychoactive substance misuse (lifetime),no,NPC,OtherDrugs,independent,eugei_sami_PLEs_novelPsychoactmisuseExtracted,pEstimate_eugei_sami_PLEs_novelPsychoactmisuse,cohen,,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
225,Bhattacharyya,Bhattacharyya_CBD,"Bhattacharyya, S., Atakan, Z., Martin-Santos, R., Crippa, J.A., Kambeitz, J., Prata, D., Williams, S., Brammer, M., Collier, D.A. and McGuire, P.K., 2012. Preliminary report of biological basis of sensitivity to the effects of cannabis on psychosis: AKT1 and DAT1 genotype modulates the effects of δ-9-tetrahydrocannabinol on midbrain and striatal function. Molecular psychiatry, 17(12), pp.1152-1155.",2012,2012,Experiment,UK,25.97,NA,NA,THC.PLE,psych_like,"AKT1 (rs1130233, risk allele: A)","AKT (rs1130233, risk allele: A)",yes,AKT1,CandidateGene,independent,"fes(bhattacharyya_AKT1_psych_change_THC_f, bhattacharyya_AKT1_psych_change_THC_carrierA_n, bhattacharyya_AKT1_psych_change_THC_homozygousG_n,  dig=20)",pEstimate_bhattacharyya_AKT1_psych_change_THC,cohen,,Yes,Yes,
226,Bhattacharyya,Bhattacharyya_CBD,"Bhattacharyya, S., Atakan, Z., Martin-Santos, R., Crippa, J.A., Kambeitz, J., Prata, D., Williams, S., Brammer, M., Collier, D.A. and McGuire, P.K., 2012. Preliminary report of biological basis of sensitivity to the effects of cannabis on psychosis: AKT1 and DAT1 genotype modulates the effects of δ-9-tetrahydrocannabinol on midbrain and striatal function. Molecular psychiatry, 17(12), pp.1152-1155.",2012,2012,Experiment,UK,25.97,NA,NA,THC.PLE,psych_like,"DAT1 (3’UTR VNTR, risk allele: 9-repeat variant)","DAT1 (3’UTR VNTR, risk allele: 9-repeat variant)",no,DAT1,CandidateGene,independent,"fes(bhattacharyya_DAT1_psych_change_THC_f, bhattacharyya_AKT1_psych_change_THC_carrier9repeat_n, bhattacharyya_AKT1_psych_change_THC_homozygous10repeat_n,  dig=20)",pEstimate_bhattacharyya_DAT1_psych_change_THC,cohen,,Yes,Yes,
,,,,,,,,,,,,,,,,,,,,,,,,,
228,Bhattacharyya,Bhattacharyya_CBD,"Bhattacharyya, Sagnik, José Alexandre Crippa, Paul Allen, Rocio Martin-Santos, Stefan Borgwardt, Paolo Fusar-Poli, Katya Rubia et al. ""Induction of psychosis byδ9-tetrahydrocannabinol reflects modulation of prefrontal and striatal function during attentional salience processing."" Archives of general psychiatry 69, no. 1 (2012): 27-36.",2012,2012,Experiment,UK,26.67,NA,NA,THC.PLE,psych_like,Single dose oral (0mg vs 10mg THC),Single dose oral (10mg THC),no,SingleDose,CannabisDynamics,dependent,extract_bhattacharyya_10mgTHC_PANSS_pos,pEstimate_bhattacharyya_10mgTHC_PANSS_pos,cohen,,No,No,
,,,,,,,,,,,,,,,,,,,,,,,,,
230,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Age (mean age differences between cannabis sensitive and non-sensitive individuals),Age (younger),no,Age,Demographic,independent,"mes(atakan2013_TP_age_mean, atakan2013_NP_age_mean, atakan2013_TP_age_SD, atakan2013_NP_age_SD, atakan2013_TP_n, atakan2013_NP_n, dig=20)",pEstimate_atakan2013_TP_age,cohen,,No,No,
231,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Years of education (more years),Education (more),no,Education,Demographic,independent,atakan2013_TP_educationExtracted,pEstimate_atakan2013_TP_education,cohen,,No,No,
232,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Frequency of cannabis use,Cannabis in system (high),no,Tolerance,CannabisDynamics,independent,"pes(atakan2013_TP_cannabisSeverity_p, atakan2013_TP_n, atakan2013_NP_n, dig=20)",pEstimate_atakan2013_TP_cannabis,cohen,,No,No,
233,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Cigarette smoker,Cigarette use (yes),no,Nicotine,OtherDrugs,independent,"pes(atakan2013_TP_cigarette_p, atakan2013_TP_n, atakan2013_NP_n, dig=20)",pEstimate_atakan2013_TP_cigarette,cohen,,No,No,
234,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,AlcoholUse,Alcohol use,no,Alcohol,OtherDrugs,independent,"pes(atakan2013_TP_alcoholSeverity_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_alcohol,cohen,,No,No,
235,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Other drug use (used verus not used),Other drugs (used),no,OtherDrugs,OtherDrugs,independent,"pes(atakan2013_TP_otherDrugs_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_otherDrugs,cohen,,No,No,
236,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Employment status (unemployed verus employed),Employment status (unemployed),yes,EmploymentStatus,Demographic,independent,extract_atakan2013_TP_employment,pEstimate_atakan2013_TP_employment,cohen,,Yes,Yes,
237,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Anxiety (baseline STAI),Prior anxiety (high),yes,Anxiety,MentalHealthPersonality,independent,"pes(atakan2013_TP_baselinePLC_STAI_p, atakan2013_TP_n, atakan2013_NP_n, dig=20)",pEstimate_atakan2013_TP_baselinePLC_STAI,cohen,,Yes,Yes,
238,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Subjective drug effects rating,Subjective drug effects rating (ARCI),no,SubjectiveHigh,CannabisDynamics,independent,"pes(atakan2013_TP_baselinePLC_ARCI_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_baselinePLC_ARCI,cohen,,Yes,Yes,
239,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Intoxication level following THC administration,Intoxication level,no,SubjectiveHigh,CannabisDynamics,independent,"pes(atakan2013_TP_THC_AIS_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_baselinePLC_ARCI,cohen,,Yes,Yes,
240,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,VAMS tranquillization subscale,VAMS tranquillization subscale,yes,Other,Other,independent,"pes(atakan2013_TP_baselinePLC_VAMS_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_baselinePLC_VAMS,cohen,,Yes,Yes,
241,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,Psychosis symptoms prior to THC administration (PANSS positive),Psychosis symptoms prior THC administration,yes,PsychosisLiability,MentalHealthPersonality,independent,"pes(atakan2013_TP_baselinePLC_PANSS_pos_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_baselinePLC_PANSS_pos,cohen,,Yes,Yes,
242,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,PANSS negative score prior THC administration,PANSS negative score prior THC administration,yes,Other,Other,independent,"pes(atakan2013_TP_baselinePLC_PANSS_neg_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_baselinePLC_PANSS_neg,cohen,,Yes,Yes,
243,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,PANSS general symptom score prior THC administration,PANSS general symptom score prior THC administration,yes,Other,Other,independent,"pes(atakan2013_TP_baselinePLC_PANSS_gen_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_baselinePLC_PANSS_gen,cohen,,Yes,Yes,
244,Atakan,Bhattacharyya_CBD,"Atakan, Z., S. Bhattacharyya, P. Allen, R. Martin-Santos, J. A. Crippa, 2SJ Borgwardt, P. Fusar-Poli et al. ""Cannabis affects people differently: inter-subject variation in the psychotogenic effects of Δ9-tetrahydrocannabinol: a functional magnetic resonance imaging study with healthy volunteers."" Psychological medicine 43, no. 6 (2013): 1255-1267.",2013,NA,Experiment,UK,26.2,20,40,THC.PLE,psych_like,PANSS total score prior THC administration,PANSS total score prior THC administration,yes,Other,Other,independent,"pes(atakan2013_TP_baselinePLC_PANSS_tot_p, atakan2013_TP_n, atakan2013_NP_n, dig=20) ",pEstimate_atakan2013_TP_baselinePLC_PANSS_tot,cohen,,Yes,Yes,
